viewCount,likeCount,dislikeCount,favoriteCount,commentCount,title,publishedAt,playlist_anme
61353,4552,57,0,223,"Родители и дети: мозг, поведение, развитие",2018-01-12T18:18:49Z,Кто здесь главный?
44035,3740,49,0,217,Мозг и любовь | Кто здесь главный? [4 серия],2018-01-12T18:19:20Z,Кто здесь главный?
36720,3039,30,0,146,Мозг и страх | Кто здесь главный? [3 серия],2018-01-12T18:19:35Z,Кто здесь главный?
42387,3317,47,0,166,Агрессия и мозг: самое важное,2018-06-25T19:46:02Z,Кто здесь главный?
45754,4588,28,0,137,"Как мы понимаем, что чувствуют другие",2018-07-20T12:38:59Z,Кто здесь главный?
93682,8159,134,0,290,Мозг лидеров и подчиненных,2018-07-20T12:38:11Z,Кто здесь главный?
80591,7394,293,0,668,"Марс, который мы не умеем строить",2020-05-04T12:20:31Z,Эксперты SciOne
80789,6737,70,0,339,Возможности умных машин | Охотники за будущим,2017-10-05T13:41:49Z,ОХОТНИКИ ЗА БУДУЩИМ
64576,4850,83,0,222,Что меняется с развитием умных машин | Охотники за будущим,2017-10-05T13:41:49Z,ОХОТНИКИ ЗА БУДУЩИМ
131620,6625,289,0,661,Чем опасен искусственный интеллект? | Охотники за будущим,2017-10-05T13:41:49Z,ОХОТНИКИ ЗА БУДУЩИМ
62707,3798,211,0,719,"Что, если не истину, открывает наука? | Мозговой штурм",2017-10-05T13:40:46Z,Эксперты SciOne. Дмитрий Гусев
49647,4502,133,0,641,Мозговой штурм: истина и наука,2017-10-05T13:40:46Z,Эксперты SciOne. Дмитрий Гусев
86449,6155,92,0,227,КАК ПОЗНАВАТЬ И НЕ ОСТАВАТЬСЯ В ДУРАКАХ,2017-10-05T13:40:46Z,Эксперты SciOne. Дмитрий Гусев
285635,14808,263,0,753,САМЫЕ ВАЖНЫЕ ИДЕИ О ПРАВИЛЬНОМ МЫШЛЕНИИ | КОВЧЕГ ИДЕЙ,2017-10-05T13:40:46Z,Эксперты SciOne. Дмитрий Гусев
638071,42165,953,0,3233,4 закона логики | Дмитрий Гусев,2019-03-23T13:29:13Z,Эксперты SciOne. Дмитрий Гусев
154472,7848,95,0,391,САМЫЕ ВАЖНЫЕ ИДЕИ О ПРОИСХОЖДЕНИИ ЧЕЛОВЕКА | КОВЧЕГ ИДЕЙ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
78205,3710,67,0,247,БЫЛИ ЛИ КАННИБАЛАМИ НАШИ ПРЕДКИ? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
67434,2552,71,0,122,КАК ОХОТИЛИСЬ ДРЕВНИЕ ЛЮДИ? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
49082,3484,60,0,100,МИФЫ О МОДЕ ДРЕВНИХ ЛЮДЕЙ | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
443687,25958,921,0,1727,"ПРАВДА ЛИ, ЧТО ЧЕЛОВЕЧЕСТВО ГЛУПЕЕТ? | IQ",2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
695425,35118,1259,0,1920,КАКИЕ БЫЛИ АЛЬТЕРНАТИВЫ ЧЕЛОВЕЧЕСТВУ? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
60244,3103,61,0,311,ПРОИСХОЖДЕНИЕ ЧЕЛОВЕКА: КОГДА ЭТО СЛУЧИЛОСЬ? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
89138,5123,138,0,374,ЧЕЛОВЕК — ВЕРШИНА ЭВОЛЮЦИИ? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
147911,7251,235,0,418,КТО СКРЫВАЕТ ПРАВДУ О ПРЕДКАХ ЧЕЛОВЕКА? | IQ,2017-10-05T13:29:59Z,Эксперты SciOne. Станислав Дробышевский
125162,17384,875,0,2058,"ЧТО, ЕСЛИ ОТМЕНИТЬ СТАНДАРТНЫЕ ШКОЛЫ?",2020-12-13T15:21:20Z,Эксперты SciOne. Александр Панчин
111360,9451,288,0,469,Главный миф о поведении людей во время катастроф | Влад Гончарук,2020-06-04T17:15:37Z,Эксперты SciOne. Александр Панчин
112898,9814,195,0,694,БЕСОВСКАЯ наука | Александр Панчин,2020-02-25T16:33:01Z,Эксперты SciOne. Александр Панчин
53281,2786,78,0,522,«Первые в России ГМО-дети» | Зона Брока,2020-01-13T09:56:01Z,Эксперты SciOne. Александр Панчин
139332,9784,198,0,479,8 причин разводить БАКТЕРИИ | Иван Лозовой,2019-12-15T16:43:01Z,Эксперты SciOne. Александр Панчин
62081,3114,96,0,576,"Зона Брока | Происхождение языка, эволюция слов, гений Зализняк | подкаст Александра Панчина",2019-11-04T08:01:09Z,Эксперты SciOne. Александр Панчин
135041,10295,591,0,1943,Библия ПРАВА... в мультивселенной | Частное мнение // Александр Панчин,2019-10-17T09:05:19Z,Эксперты SciOne. Александр Панчин
189066,15345,367,0,1742,"Тот, кого НЕЛЬЗЯ называть | Александр Панчин",2019-09-29T11:59:29Z,Эксперты SciOne. Александр Панчин
152589,14953,264,0,1381,"ОНИ ХОТЯТ, ЧТОБЫ МЫ МОЛЧАЛИ | Частное мнение // Александр Панчин",2019-09-12T07:24:40Z,Эксперты SciOne. Александр Панчин
147770,6559,857,0,1573,"О правде и лжи ""Чернобыля"": ученый, два инженера, историк | Зона Брока // подкаст Александра Панчина",2019-07-25T19:01:48Z,Эксперты SciOne. Александр Панчин
